los_pick_id;los_order_id;art_id;to_pick;weight;volume;tour_id;box_position_on_cart;box_type;pick_start_date;pick_end_date;
20022921;1698349;465337;1;0.280;840.840;209946;11;GRÜN;2019-09-04-15.42.42.149540;2019-09-04-15.42.46.174492;
20022922;1698349;321159;1;0.280;840.840;209946;11;GRÜN;2019-09-04-15.39.45.710528;2019-09-04-15.39.47.347690;
20022920;1698349;458842;1;0.033;2215.200;209946;11;GRÜN;2019-09-04-15.35.06.972292;2019-09-04-15.35.15.742453;
20022927;1698349;594383;1;0.308;1017.900;209946;11;GRÜN;2019-09-04-16.05.53.257932;2019-09-04-16.05.57.130831;
20022925;1698349;476219;2;0.035;1754.500;209946;11;GRÜN;2019-09-04-15.35.50.819785;2019-09-04-15.35.55.066993;
20022926;1698349;458830;1;0.030;10089.000;209946;11;GRÜN;2019-09-04-15.39.34.045383;2019-09-04-15.39.35.305688;
20022923;1698349;491390;1;0.033;1674.750;209946;11;GRÜN;2019-09-04-16.06.09.073611;2019-09-04-16.06.12.512636;
20022924;1698349;637071;1;0.761;5280.480;209946;11;GRÜN;2019-09-04-15.45.04.374854;2019-09-04-15.45.06.286151;
20022919;1698349;431700;1;0.091;631.130;209946;11;GRÜN;2019-09-04-16.03.00.326281;2019-09-04-16.03.01.639347;
20022893;1698345;654493;16;0.055;530.050;209705;10;GRÜN;2019-09-04-10.36.16.238276;2019-09-04-10.36.39.776373;
20022889;1698345;623986;6;0.045;284.460;209705;10;GRÜN;2019-09-04-11.28.31.385742;2019-09-04-11.28.46.780015;
20022891;1698345;623986;26;0.045;284.460;209705;10;GRÜN;2019-09-04-11.44.11.628074;2019-09-04-11.45.15.153462;
20022892;1698345;635906;10;0.129;457.220;209705;10;GRÜN;2019-09-04-11.31.24.782525;2019-09-04-11.31.51.456905;
20022890;1698345;94209;10;0.019;324.900;209705;10;GRÜN;2019-09-04-11.49.29.977110;2019-09-04-11.50.13.750531;
20022899;1698346;848000;1;0.460;1470.000;209873;4;GRÜN;2019-09-04-15.09.44.058694;2019-09-04-15.10.04.480519;
20022897;1698346;645296;1;1.384;10992.960;209873;4;GRÜN;2019-09-04-15.46.54.207095;2019-09-04-15.47.08.536595;
20022898;1698346;356162;1;0.060;419.900;209873;4;GRÜN;2019-09-04-15.19.32.187276;2019-09-04-15.19.35.368725;
20022895;1698346;645296;1;1.384;10992.960;209873;4;GRÜN;2019-09-04-14.49.40.580177;2019-09-04-14.49.47.913924;
20022896;1698346;467940;1;0.428;441.000;209873;4;GRÜN;2019-09-04-15.18.23.527300;2019-09-04-15.18.37.663323;
